"A Yuri Story About a Girl Who Insists ""It's Impossible for Two Girls to Get Together"" Completely Falling Within 100 Days",
Ab-LOVE-cadabra,
"Abandoned Reincarnation Sage: I Will Create the Strongest Demon Empire in the Demon Fores, The",
About a Stereotypical PE Teacher Who Dies at the Start of a School Horror Movie,Gori-sen ~The type of PE teacher to die first during a panic~ (A Manga About a Stereotypical PE Teacher Who Dies at the Start of a School Horror Movie)
About Death,
"About That Time I Didn’t Want to Have a Matchmaking Interview, So I Set Some Impossible Conditions and Then My Classmate Showed Up","Omiai Shitakunakatta node, Murinandai na Jouken wo Tsuketara Doukyuusei ga Kita Ken ni Tsuite"
"Academy's Genius Swordsman, The",
"Academy’s Sashimi Sword Master, The",
Accomplishments of the Duke's Daughter,
Ace of Diamond,
"Act Like a Boss Monster, Mr. Swallow!",
After Being Called a Hero: The Unrivaled Man Starts a Family,Yuusha to Yobareta Nochi ni - Soshite Musou Otoko wa Kazoku wo Tsukuru
After Being Reborn,
After Hours,Afuta Awazu
After School Mate,
After Ten Millennia in Hell,
After-School Secret Club,
Ah! My Goddess,
Aharen Is Unfathomable,
Aho Girl,
Air Gear,
Ajin Sharehouse,
Ajin: Demi-Human,
Akira,
Akumade Amai Watashi no Kanojo,
Akuta no Shinigiwa,
Akutsu-san!,
Akuyaku Reijou no Shitsuji-sama,
Alive: The Final Evolution,
"Although It’s the Weakest and Unprofitable Occupation,『Blacksmith』, Has Become the Strongest. ~Realized He Can Make Anything He Wants, the Man Started His Leisurely Life~",
Amachin wa Jishou ♂,
Amama Cinderella,
Amateur E-girl Streaming a Space War,Teihen Chuubaa ga Uchuu Sensou o Totte Mita
Amemiya-san,
An Introduction To Interspecies Linguistics,
An Introvert's Hookup Hiccups: This Gyaru Is Head Over Heels for Me!,Inkya no Boku ni Batsu Game ni Kokuhaku Shitekita Hazu no Gyaru ga
Ana Satsujin,
Anan-san wa Deatte 3-byou de Gattai shitai!,
Ane Log,
Animal Land,
Ano Ko no Uroko,
Ano Oni Kyoushi ga Boku no Ane ni Narundesuka,
Ao Ashi,
Apothecary Diaries,Kusuriya no Hitorigoto
Appleseed and Appleseed Alpha,
Aqua Knight,
Arakawa Under the Bridge,
Arata Natsume Getting Married,Natsume Arata no Kekkon
Arcane Sniper,
"Archmage Returns After 4000 Years, The",
Are You Really the Only One Who Likes Me?,Ore wo Suki Nano wa Omae Dake ka yo
Aren’t You Too Sweet Salt-God Sato-San?,Shiotaiou no Sato-san ga Ore ni dake Amai
ARIA The MASTERPIECE,
Ariadne in the Blue Sky,
Arigathights,
Around 30 ni wa Muri nano de,
As a Reincarnated Aristocrat,
Asoko de Hataraku Musubu-san,
Assassination Classroom,Ansatsu Kyoushitshu
Asura’s Dish of the Day,
Awasetara Saikyou Deshita,
"Ayakashi Undertakers, The",Ayakashi no Sougiya
Azumanga Daioh,
"Azure Night, Waltz of Rapture",
Back Street Girls,
Back When you Called us Devils,
Backstabbed in a Backwater Dungeon: My Party Tried to Kill Me But Thanks to an Infinite Gacha I Got LVL 9999 Friends and am Out for Revenge,
Bakappuru,
Bakemonogatari,
Bakuman,
Ballpark de Tsukamaete!,
Banana Fish,
Bar Flowers,
"Barbarian's Bride, The",
Basilisk Kouga Ninpo-Cho,
Basilisk Ouka Ninpo-Cho,
Bastard,
Batsu 3 no Mitori Fujin to Yobareteimasu no de Suteoite Kudasaimase,
Batsu Ichi JK,
Battle Angel Alita,
Battle Angel Alita Gaiden,
Battle Angel Alita: Last Order,
Battle Angel Alita: Mars Chronicle,
Batuque,
Beast Tamer,
Beastburn,
"Beautiful Deity, The",Utsukushii Bakemono
Because You Love The Radio,
Beck,
Being Loved for the First Time / First Time as a Loved Youngest Child,Sarangbanneun Mangnaeneun Cheoeumira
Beloved Kunitama,
Best Teacher Baek / Number One Star Instructor Baek,
Bestiarius,
Beware the Villainess!,
Big Bro Ogre and Slave-chan,
Billy Bat,
Bimyou ni Yasashii Ijimekko,
Binbougami ga!,
Biryuu Enshoutan,Bishounen Tanteidan
Bizarre Restaurant,
Black Butler,Kuroshitsuji
Black Clover,
Black Clover Side Story: Quartet Knights,
Black Lagoon,
Black Lagoon: Sawyer the Cleaner - Dismemberment! Gore Gore Girl,
Black★Rock Shooter: Innocent Soul,
Blade of the Phantom Master,Shin Angyo Onshi
BLAME!,
Bleach,
Bless,
Blind Play,
Blood on the Tracks,Chi no Wadachi
Blood-crawling Princess of a Ruined Country,Chi wo Hau Boukoku no Oujo
Bloody Monday,
Blue Archive: Game Kaihatsubu Dai Bouken!,
Blue Blazes,Aoi Nonnou
Blue box,
Blue Exorcist,Ao no Exorcist
"Blue Flowers and the Ceramic Forest, The",Ao no Hana
Blue Giant,
Blue Lock,
Blue Lock: Episode Nagi,
Blue Period,
Boarding School Juliet,Kishuku Gakkou no Juliet
Bobobo-Bo Bo-Bobo,
Boku no Kanojo Sensei,
Boku no Kanojo wa Saikoudesu,
Boku no Ma na Musume,
Boku no Tsuma wa Kanjou ga Nai,
Boku to Mimoza no 75-nichi,
Boku wa ayashii kimi no mono,
Boku wa Kimitachi wo Shihai suru,
Bokurano,
Book Eater,
Boukensha License wo Hakudatsu Sareta Ossan Dakedo,
Boukyaku Battery,
Boukyou Tarou,
"Boy Who Collects The Stars, The",
Breaker: Eternal Force,
"Bride of the Kyougane Clan, The",Kyouganeke no Hanayome
BRIGADOON: marin & μελαν,
BTOOOM!,
"Bugle Call: Song of War, The",
Bungo,
Bungou Stray Dogs,
By the Grace of the Gods,
"Café Terrace and Its Goddesses, The",
Call of the Night,Yofukashi no Uta
Candy & Cigarettes,
Cardcaptor Sakura,
Cardcaptor Sakura: Clear Card,
"Case Study of Vanitas, The",Vanitas no Carte
Catch These Hands!,
Cavegirl Urara,
Centuria,
Chained Soldier,Mato Seihei no Slave
Chainsmoker Cat,Yani Neko
Chaos Game,
Charlotte and Her 5 Disciples,
Cheat Mode Farming in Another World,
"Cheat Skill ""Shisha Sosei"" ga Kakusei Shite",
Cherry Tomato,
Chi's Sweet Home Orient,
Chiisai Nozomi to Ooki na Yume,
Children,
Children of the Sea,Kaijuu no Kodomo
Chira & Chiller,
Chitra,
Chobits,
Chocolate Freres,
Choroi,
Chosen by Lottery: Engaged to the Coldhearted Duke!,"Kuji kara Hajimaru Konyaku Seikatsu Gensei naru Chuusen no Kekka, Warawanai Jiki Koushaku-sama no Konyakusha ni Tousen shimashita"
Chou Donkan Mob ni Heroine ga Kouryaku sarete,
Choujin X,
Chow Time at the Ballpark,
"Chronicle of Seven Cities, The",
Ciguatera,
Cinderella Found Her Prince,
Circle Zero's Otherworldly Hero Business,
Circle Zero's Otherworldly Hero Business: Reboot,
Citrus,
City of Imprisoned Love,
"Classroom of a Black Cat and a Witch, The",
Claudine...!,
Claymore,
Clevatess,
Cocktail Knights!,
CØDE:BREAKER,
Coffee wo Shizuka ni,
Cohabitation with My Fiancée,
Color-Possessing Monochrome,Irozuku Monochrome
"Come Out, Romeo",
Confessions,Gobaek
Control,
Cooking Papa,
Corporate Slave and Gal Switch Places,
Corpse Party (2015),
Cosmos,
Crimson Grimoire,
"Crossdressing Boy Wants to Take Off His Skirt, The",Josou Danshi wa Skirt wo Nugitai!
"Crown Princess Scandal, The",
Curiosity Killed the Schoolgirl,
Curse of Spring,Haru's Curse
Dagashi Kashi,
Dai Dark,
Dai Tokyo Oniyome-den,
Daikaiju Gaea-Tima,
Dairoku Sense,
Daisuki Desu!,
Daiya no C,
Dam of the forest,
Danball Senki Gaiden (LBX Gaiden),
Danball Senki WARS (LBX WARS),
Dance Dance Danseur,
Dandadan,
Dansou no Partner,
Dare ga Mita,
Daredemo Dakeru Kimi ga Suki,
Dark Gathering,
Darling in the FRANXX,
Darwin Jihen,
Dating With A Tail,
Days,
"Days After the Hero’s Return, The",
DDADDICTION,
Dead Dead Demon's Dededededestruction,
Dead Mount Death Play,
Deadpool: Samurai,
Death Is the Only Ending for the Villainess / Villains Are Destined to Die,
Death Note,
Deathtopia,
Deatte Hitotsuki de Zecchou Jorei!,
Debby the Corsifa,
Degausser,
Delicious in Dungeon,Dungeon Meshi
Delicious in Dungeon World Guide: The Adventurer's Bible,Dungeon Meshi World Guide: Boukensha Bible
Demon's Worm Toxin,
Denjin N,
Designs,
Dessert 9,
Destined to Be Eaten Within a Year By the Predacious Heroine,
Destiny Lovers,
Destiny Unchain Online,
Destroy Everything,
Deviant Love,
Devil Ecstasy,
"Devil King Is Bored, The",
DGray-Man,
Diamond no Ace: Act II,
Diary of a Female Lead,Shujinkou Nikki
Die By My Hand,Boku ni Korosarero
"Disappearance of Nagato Yuki-chan, The",
Disney Twisted Wonderland - The Comic - ~Episode of Heartslabyul~,
Disney Twisted Wonderland - The Comic - ~Episode of Octavinelle~.,
Disney Twisted Wonderland - The Comic - ~Episode of Savanaclaw~,
"Divorcée's Dessert Cafe, The",
Do it yourself!!,
Do Snakes Eat Flowers?,Baemeun Kkocheul Meogneunga
Doctor Mermaid,
Doctor Slump,
Dokyuu Hentai HxEros,
Dolls,
Dolly Kill Kill,
"Don't Blush, Sekime-san",
Don't Call it Mystery,
Doraemon Long Stories,
Dorei Tensei: Sono Dorei,
Dorobou-chan,
Dou ka Ore wo Houtte Oitekure - Naze ka Bocchi no Owatta Koukou Seikatsu wo Kanojo ga Kaeyou to shite kuru,
Double House,
Doujima-kun wa Doujinai,
Doumitemo Boku ni Betahore Desu,
Dr. Stone,
Dragon and Chameleon,
Dragon Ball,
Dragon Head,
"Dragon King's Silent Bride: A Witch's Voice Lost to Fate, The",Kokuryuu Heika no Seiryaku Hanayome
"Dragon Next Door, The",
Dragon Yashinatte Kudasai,
Drama na Koi wa Kihon kara,
"Draw This, Then Die",Kore Kaite Shine
Drifting Dragons,
"Due to Their Appreciation and Expectations, I can't Exploit My Slaves",Dorei kara no Kitai to Hyouka no sei de Sakushu dekinai no daga
"Duke of Death and His Maid, The",
Dungeon Majesty,
DUNGEON RESET,
Dungeon Tou de Yadoya wo Yarou! Souzou Mahou wo Moratta Ore no Hosoude Hanjouki,
Dusk Maiden of Amnesia,Tasogare Otome × Amnesia
Egret: The Great Sage,
Einen Koyou wa Kanou deshou ka,
Eiyuu Kyoushitsu,
"Elf and the Hunter's Item Atelier, The",Elf to Shuryoushi no Item Koubou
Elqueeness,
Emiya-san Chi no Kyou no Gohan,
Emperor and the Female Knight,
End and Save,
Ending Maker,
Erased,Boku Dake ga Inai Machi
Eren the Southpaw,
Errand Love,Pashiri na Boku to Koisuru Banchou-san
Eru no wa renai jyakusha to peke tenshi,
Evans Mix,
Evasion Skill Turns Into a “Wall Clip Bug”,
Even 'Used Goods' Wants to Experience Love!,
"Even Given the Worthless ""Appraiser"" Class, I'm Actually the Strongest: Unsurpassed with the Strongest ""Divine Eye"" Trained in the Abyss",
Even If I'm not Fifteen,
Even If You Slit My Mouth,Kuchi ga Saketemo Kimi Ni Wa
Even the Elf Captain Wants to be a Maiden,
"Everyone Is from Another World, Except Me!?",
EX-ARM,
"Executed Sage Who Was Reincarnated as a Lich Started an All-Out War, The",Shokei Sareta Kenja wa Lich ni Tensei Shite Shinryaku Sensou wo Hajimaru
"Executioner and Her Way of Life, The",Shokei Shoujo no Ikiru Michi
"Executioner of the Demon King's Daughter, The",Maou Reijou no Shikkousha
"Exiled Heavy Knight Knows How to Game the System, The",
"Fable, The",
"Fable: The second contact, The",
Factory Nightscape,Koujou Yakei
Fairy Tail: 100 Years Quest,
Falling for Her Secret Side,
False Child,
Fate/Apocrypha,
Fate/EXTRA CCC,
"Fate/Grand Order -Epic of Remnant- Deep Sea Cyber-Paradise, SERAPH",
"Fate/Grand Order -Epic of Remnant- Pseudo-Singularity I: Quarantined Territory of Malice, Shinjuku - Shinjuku Phantom Incident",
"Fate/Grand Order -Epic of Remnant- Pseudo-Singularity II: Subterranean World of Folklore, Agartha - Women of Agartha",
"Fate/Grand Order -Epic of Remnant- Pseudo-Singularity III: The Stage of Carnage, Shimousa - Seven Duels of Swordmasters",
"Fate/Grand Order -Epic of Remnant- Pseudo-Singularity IV: The Forbidden Advent Garden, Salem - Heretical Salem",
Fate/Grand Order -mortalis:stella-,
Fate/Grand Order -turas réalta-,
Fate/Grand Order From Lostbelt,
Fate/Prototype: Sougin no Fragments,
Fate/stay Night [Heaven's Feel],
Fate/Stay Night: Unlimited Bladeworks,
Fate/type Redline,
"Fate/Zero, Fate/EXTRA",
Fechippuru - Bokura no Innocent Love,
Female Knight from My Rice Field,
"Female Soldier Has Been Told to Infiltrate an Imperial Magic Academy, The","Gunjin Shoujo, Seiritsu Mahou Gakuen ni Senyuu Suru Koto ni Narimashita"
Fight back! Dark Elf-chan,
Fighting Spirit,Hajime no Ippo
Fire Emblem Engage,
Fire Force,Enen no Shouboutai
"Fire Play Club, The",
Fire Punch,
First Love Zombie,Hatsukoi Zombie
Flower and Asura,
"Flowers of Evil, The",
Flying Witch,
"Food Diary of Miss Maid, The",
Food Wars!: Shokugeki no Soma,
Fool Night,
For Better or For Worse / Weal or Woe?,
For Now A Yadori-kinda Guesthouse!,
Fork & Knife,
"Fragrant Flower Blooms with Dignity, The",Kaoru Hana wa Rin to Saku
Free Draw,
Friends Games,Tomodachi Game
"Friends-Eater Classroom, The",
Frieren,Sousou no Frieren
From Betrayed Hero to Invincible Demon King,
From Overshadowed to Overpowered: Second Reincarnation of a Talentless Sage,
From the Dust,
Fueru Tsuma,
Furitsumore Kodoku na Shi yo,
Fushigi na Neko no Machi Meltier,
Futago Saien,
Futari from Ashioka Rangyo,
Futari no Kokuhaku,
Futari Seitokai,
Futari Switch,
Gachi Koi Maou-sama,
Gachiakuta,
Gaishuu Isshoku,
Gal and Tsuchinoko,
Gal Cleaning,
Gal ni Pa-chan wa Semararetai,
Gal ni Yasashii Otaku-kun (Otaku x Gal),
"Gamer, The",
Gantz,
Gantz:G,
Garaku,
Gasoline,
Gekikou Kamen,
"Genius Witch Lost MP, The",Tensai Majo no Maryoku Kare
Gensou Gourmet,
Get Married When You Grow Up!,Ookikunattara Kekkon Suru!
Getsuyoubi no Tawawa,
Getter Robo Devolution,
Ghost in the Shell,
Ghost Sweeper Mikami,
Giant Killing,
Giant Ojou-sama,
GIGANT,
Gigantis,
"Girl I Like Forgot Her Glasses, The",Suki na Ko ga Megane o Wasureta
"Girl I Saved on the Train Turned Out to Be My Childhood Friend, The",Chikan Sare-sō ni Natteiru S-kyū Bishōjo o Tasuketara Tonari no Seki no Osananajimidatta
"Girl with a Kansai Accent and the Pure Boy, The",
"Girl, The Shovel, and the Evil Eye,The",
"Girlfriend, Girlfriend",Kanojo mo Kanojo
Gleipnir,
"Gloom Princess and the Amorous Raven, The (Oneshot)",Kurahime to Koikarasu (Oneshot)
Go With the Clouds,
Go! Go! Loser Ranger!,Sentai Daishikkaku
Go! Ina Junior High Ping-Pong Club,
"God-Slaying Demon King, The",
"Goddess's Sprinter, The",Megami no Sprinter
"Gods Lie, The",Kami-sama ga Uso wo Tsuku
"Gokuraku District's Third Avenue Incident, The",
Gokurakugai,
Golden Kamuy,
Golden Man,
Golden Spiral,
"Good Morning, Psychopath.",Ohayou Saikopasu
Goodnight PunPun,Oyasumi PunPun
Gorin no Megami-sama ~Nadeshiko Ryou no Medal Gohan~,
Gourmet Fighter!,
Grand Blue,
Grand Blue Dreaming,
Gray Goo of Mid Summer,
Great Teacher Onizuka,
Green Blood,
"Grim Reaper Falls in Love With a Human, The",Ningen ni Koisuru Shinigami-chan
Grimace,
"Guild Member Next Door, The",
Guilty Circle,
Gyaru Sen,
H2,
HadaCamera,
Hagure Ningyo no Diana,
Haija,
Haikyu!!,
Hako Girl,
Hana ni Arashi,
Hanayome ~ Shitagerareteita Watashi Ga Teito No Shugojin Ni Dekiai Sareru ～,
Happiness,
"Happy Birthday, Goodbye",
Happy If You Died,
Happy!,
Hare-kon,
Have a Great Sunday,
"Have You Come Again Today, Yoda-senpai?","Kyou mo Kitansu ka, Yoda-senpai."
Hayate no Gotoku!,
He Can't Be This Dumb!,
He's Expecting,Hiyama Kentarou no Ninshin
Heart Gear,
Heart’s Program,Kokoro no Program
Heat,
Heaven's Son in the Land of the Rising Sun,Hi Izuru Tokoro no Tenshi
Heavenly Delusion,
Heavenly Demon Reborn!,
"Heimin Shusshin no Teikoku Shoukan, Munou na Kizoku Joukan wo Juurin shite Nariagaru",
Heisei Armored Justice Corps,Heisei Busou Seigidan
Heisei Haizanhei Sumire-chan,
Heisei Otaku Remembers,
Helck,
Hell's Kitchen,
Hell's Paradise,Jigokuraku
Hell's Tormentor Kitchen,Gokusotsu Kraken
Helvetica Standard,
Hen na Chishiki ni Kuwashii Kanojo...,
Henjin no Salad Bowl,
Henkyou no Roukishi - Bard Loen,
"Hero and the Sage, The / Reincarnated and Engaged",Eiyuu to Kenja no Tensei Kon
Hero Girl × Healer Boy: Touch or Death,
"Hero is Dead, The",Yuusha ga shinda
"Hero Who Returned Remains the Strongest in the Modern World, The",Isekai Kaeri no Yuusha ga Gendai Saikyou! Inou Battle-kei Bishoujo o Bishibashi Choukyou Suru Koto ni!?
Heroes / Eroi,Yuusha-tachi
Heroic Chronicles of the Three Continents,
Heroine wa Zetsubou shimashita,
Heterogeneous linguistics,Heterogenia Linguistico
Hey boy! Let's take a break.,"Shounen, Chotto Sabotteko?"
"Hey, Let’s Get Married!: A Cosplay JK Secret Love","Ora, Yomekko sa ikuda! ~ Kosupure JK no Himitsu no Aijou ~"
HG ni koisuru futari,
Hi Score Girl,
Higanjima,
Highserk Senki,
Higurashi no Naku Koro Ni,
Higurashi no Naku Koro ni Gou,
Higurashi no Naku Koro ni Meguri,
Hiiragi-san Chi no Kyuuketsu Jijou,
Hiiragi-San is a Little Careless,
Hijiri-kun wa Kiyoku Ikitai,
"Hikaeme ni Itte mo, Kore wa Ai",
Hikari-Man,
Hikaru no Go,
Hikizan Tautology,
Hima-Ten!,
Hime Kishi wa Barbaroi no Yome,
Himizu,
Himouto! Umaru-chan,
Hina to Bambi,
Hinamizawa Bus Stop - Higurashi When They Cry Origin,
Hirayasumi,
Hissori Book Cafe Hajimemashita,
Historie,
Hitman,Weekly Shonen Hitman
Hitman Reborn!,Katekyo Hitman Reborn
Hitoner,
Hollow Fields,
"Holy Grail of Eris, The",
Home Room,
Honeko Akabane's Bodyguards,Akabane Honeko no Bodyguard
Honey and Clover,
Honey Bitter,
Honey Lemon Soda,
Honnori! Donpatch,
Hontou desu ka,
"Hope You're Happy, Lemon",Kuso Onna ni Sachiare
"Horizon, The",
"Hoshino-kun, Shitagatte!",
House of the Sun,
How Can I Escape from This Knight's Crazy Love?,
How Do We Relationship?,Tsukiatte Agetemo Ii Kana
How Heavy Are The Dumbbells You Lift?,
How I Lose Bets With My Sadistic Gifted Childhood Friend and She Steals All of My Firsts,
How Not to Summon a Demon Lord,Isekai maou to shokan shoujo no dorei majutsu
How to Beat a Dual Girlfriend,Dual na Kanojo no Taoshikata
How to Fight,
How to Grill Our Love,
How to Raise Your Skeletons,
How to Win My Husband Over,
Hungry Marie,
"Hungry Succubus Wants to Consume Him, The",
"Hunter's Guild: Red Hood from Kawaguchi Yuuki, The",
Hyougemono,
Hyouka,
Hyouken no majutsushi,
I Am a Hero,
I Became a Legend a Decade Later After Telling My Comrades to Leave Everything to Me and Retreat First,
I Became the Strongest to Save Everyone,
"I Became the World's Strongest Witch: I Will Live Freely in a World Where Only I can Access the ""Guide Site""",
I Belong to House Castiello,
I Can’t Date My Student… Can I?,
I Can't Say No to the Lonely Girl,Lonely Girl ni Sakaraenai
"I Don't Know the Original, I'm Too Busy Trying to Make a Living",
I Don't Need an S-Rank Party!,
I Don't Need Your Love,
"I Don't Want to be a Villainess, so I Became a Doctor's Assistant",
"I Found a Husband When I Picked up the Male Lead, The Rewards of Marriage",Namjureul Juwotdeoni Nampyeoni Saenggyeobeoryeotda
I Guess I Became the Mother of the Great Demon King's 10 Children in Another World,
I had to Move in with the Most Beautiful Girl in My Class,
I Have a Crush at Work,Kono Kaisha ni Suki na Hito ga Imasu
I Left my A-Rank Party to Help My Former Students Reach the Dungeon Depths!,
I Love You,
"I Love You, Kyouko-san",
"I See Your Face, Turned Away",Kimi no Yokogao o Miteita
I Shall Master this Family,
"I Sold My Life for 10,000 Yen per Year",
I Strengthened My [Fief] Which I Got as a Replacement for My Retirement Money,Kimi to Warui Koto ga Shitai
I Want to Do Bad Things With You,
I Want to End This Love Game,Aishiteru Game wo Owarasetai
I Want to Hold Aono-kun so Badly I Could Die,Aono-kun ni Sawaritai kara Shinitai
I Want to Keep a Sloppy Woman,Darashinai Onee-san wo Kaitai
I Want to See You Embarrassed,Hajirau Kimi ga Mitainda
"I was Betrayed, so I Changed My Job to the Queen's Maid of Honor!","Uragirareta no de, Ouhitsuki Jijo ni Job Change!"
I Was Dismissed from the Hero's Party Because They Don't Need My Training Skills,
I was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability,"Tensei Shitara Dainana-ouji Dattanode, Kimama ni Majutsu wo Kiwamemasu"
I was Reincarnated as the Scumbag from a Netorare Manga,
"I Went From the Strongest Job, <Dragon Knight>, to a Beginner Level Job, <Carrier>, Yet for Some Reason the Heroes Rely on Me","Saikyou Shoku <Ryukishi> Kara Shokyu Shoku <Hakobiya> Ni Nattano Ni, Naze Ka Yushatachi Kara Tayoraretemasu"
"I'll Raise You Well in This Life, Your Majesty!","Ibeon Saeng'eun Jedaero Kiwo Deurigessseubnida, Pyeha!"
I'll Save This Damned Family!,
I’ll Slay the Demon King My Own Way,
I'll Use My Appraisal Skill to Rise in the World: I Inherited a Weak Territory,
I'm a Curse Crafter,
"I'm a Spider, So What?","Kumo Desu ga, Nani ka?"
I'm Being Raised by Villains,
I'm Destined to Greatness!,
I'm in Love with the Villainess,Watashi no Oshi wa Akuyaku Reijo
I'm Not Even an NPC in This Otome Game!,
I'm Quitting Heroing,"Yuusha, Yamemasu"
"I'm Sorry, Messiah-chan",
I’m the Only Monster Tamer in the World and Was Mistaken for the Demon Lord,Sekai de Tada Hitori no Mamonotsukai: Tenshoku shitara Maou ni Machigawaremashita
I'm the Villainess in this story? Then I'll use my power to change everything!,
I've Been Killing Slimes for 300 Years and Maxed Out My Level,"Slime Taoshite 300-nen, Shiranai Uchi ni Level MAX ni Nattemashita"
Ice Cream Kanojo,
Ice Guy and Cool Female Colleague,
Ichinichi Gaishutsuroku Hanchou,
If I Increase the Number of Capable Personnel,
If Only Yuko Would Fight,
Ijimekaeshi. Fukushuu no 31,
Ijimeru Yabai Yatsu,
Ilya,
Impersonation,
"Impregnable Demon King's Castle and the Expelled Black Mage of the Hero's Party, The",
In the Clear Moonlit Dusk,Uruwashi no Yoi no Tsuki
In/Spectre,
Inazuman VS Kikaider,
Infectee,
Inferior Magic Swordsman,
Inishie no Maougun wo Fukkatsu Sasete Shimaimashita,
Inkya Datta Ore no Seishun Revenge: Tenshi sugiru Ano Ko to Ayumu Re Life,
Innocent,
Innocent Rouge,
"Insipid Prince's Furtive Grab for the Throne, The","Saikyou Degarashi Ouji no An'yaku Teii Arasoi ~Teii ni Kyoumi Naidesuga, Shinu no wa Iyananode Otouto o Koutei ni Shiyou to Omoimasu~"
Insomniacs After School,
Interviews With Monster Girls,
InuYasha,
Invisible Joe,
Irregulars,
Is It My Fault That I Got Bullied?,"Ijimeru Aitsu ga Waruinoka, Ijimerareta Boku ga Waruinoka?"
Is This Hero for Real?,
"ISEKAI AFFAIR: 10 Years After Defeating the Demon King, the Hero Cheats on His Wife With a Warrior Woman Who Lost Her Husband","Isekai Furin: Maou Toubatsu Kara Juunen, Tsuma to wa Resu no Moto Yuusha to, Otto o Nakushita Onna Senshi"
Isekai Cheat Magic Swordsman,
"Isekai Doctor, The",Koudou ni Hattatsu Shita Igaku wa Mahou to Kubetsu ga Tsukanai
"Isekai Furin: Maou Toubatsu Kara Juunen, Tsuma to wa Resu no Moto Yuusha to, Otto o Nakushita Onna Senshi",
Isekai Hospitality Meals,Isekai Omotenashi Gohan
Isekai Kenja no Tensei Musou,
Isekai Kenkouki,
Isekai Kizoku ni Tensei Suru,
Isekai Koushoku Musou Roku ~ Using the Wisdom and Power of Reincarnation in Another World to Just XXXX,
Isekai Nation Archimaira: The Weakest King and his Unparalleled Army,
Isekai ni Kyuuseishu toshite Yobaremashita ga,
"Isekai Returnee is Too OP for the Modern World, The",
Isekai Shihai no Skill Taker - Zero kara Hajimeru Dorei Harem,
Isekai Walking / Let's Take a Walk in Another World,
Isn't Being a Wicked Woman Much Better?,
Issak / Isaak,
Issho ni Kurashite ii desu ka?,
It Happened Under Her Skirt,Jiken wa Skirt no Naka de
It Looks Like My Son Has Been Reincarnated into Another World,
It Will Become the Strongest Territory,
It's My Life,
It's Not Meguro-san's First Time,Meguro-san wa Hajimete ja Nai
It's the work of the Ghost,Sore wa Rei no Shiwaza desu
"Itsumo Baka ni shitekuru Bishoujo-tachi to Zetsuen shitara, Jitsu wa Ore no Koto ga Daisuki Datta you da.",
Jagaaaaaan,
Janai Kata no Hakushaku Reijou - Hitochigai de Kyuukonsareta no de Hadan ni shite Sashiagemasu,
Jellyfish Can't Swim in the Night,Yoru no Kurage wa Oyogenai (Yorukura)
Jigoku no Gouka de Yaka re Tsuzuketa Shounen. Saikyou no Honou Tsukai to Natte Fukkatsu Suru.,
